id,fdc_id,name,origin_dataset,is_whole_food,is_vegetarian,shortened_name,emojis,popular_score
1219,2340760,"Milk, human",survey_fndds_food,True,True,"Milk, human",🥛👨‍👩‍👧‍👦,1
1221,2340762,"Milk, whole",survey_fndds_food,True,True,"Milk, whole",🥛,5
1222,2340763,"Milk, reduced fat (2%)",survey_fndds_food,True,True,"Milk, reduced fat (2%)",🥛,5
1223,2340764,"Milk, low fat (1%)",survey_fndds_food,True,True,"Milk, low fat (1%)",🥛,5
1225,2340766,"Milk, lactose free, low fat (1%)",survey_fndds_food,True,True,"Milk, lactose free",🥛,5
1230,2340771,"Buttermilk, whole",survey_fndds_food,True,True,"Buttermilk, whole",🥛,3
1232,2340773,"Goat's milk, whole",survey_fndds_food,True,False,"Goat's milk, whole",🐐🥛,1
1238,2340779,"Milk, evaporated, whole",survey_fndds_food,True,True,"Milk, evaporated",🥛,4
1241,2340782,"Milk, condensed, sweetened",survey_fndds_food,True,True,"Milk, condensed",🥛🥛,3
1244,2340785,"Soy milk, light",survey_fndds_food,True,True,"Soy milk, light",🥛,3
1245,2340786,"Soy milk, nonfat",survey_fndds_food,True,True,"Soy milk, nonfat",🥛,3
1246,2340787,"Soy milk, chocolate",survey_fndds_food,True,True,"Soy milk, chocolate",🥛🍫,3
1248,2340789,"Almond milk, sweetened",survey_fndds_food,True,True,"Almond milk, sweetened",🥛🥜,3
1250,2340791,"Almond milk, unsweetened",survey_fndds_food,True,True,"Almond milk, unsweetened",🥛🥜,3
1258,2340799,"Yogurt, whole milk, plain",survey_fndds_food,True,True,"Yogurt, whole milk",🥛🥣,5
1259,2340800,"Yogurt, low fat milk, plain",survey_fndds_food,True,True,"Yogurt, low fat milk",🥛🥛,4
1260,2340801,"Yogurt, nonfat milk, plain",survey_fndds_food,True,True,"Yogurt, nonfat milk",🥛🥛,5
1262,2340803,"Yogurt, Greek, whole milk, plain",survey_fndds_food,True,True,"Yogurt, Greek",🥛🇬🇷,4
1282,2340823,"Yogurt, liquid",survey_fndds_food,True,True,"Yogurt, liquid",🥛🥛,5
1284,2340825,"Onion dip, yogurt based",survey_fndds_food,True,True,"Onion dip, yogurt based",🧅🥣,3
1285,2340826,"Ranch dip, yogurt based",survey_fndds_food,True,True,"Ranch dip, yogurt based",🥛🥣,3
1286,2340827,"Spinach dip, yogurt based",survey_fndds_food,True,True,"Spinach dip, yogurt based",🥬🥣,3
1288,2340829,"Vegetable dip, yogurt based",survey_fndds_food,True,True,"Vegetable dip, yogurt based",🥒🥬🥣,3
1289,2340830,"Yogurt parfait, low fat, with fruit",survey_fndds_food,True,True,"Yogurt parfait, low fat",🥛🥣,3
1291,2340832,"Frozen yogurt, vanilla",survey_fndds_food,True,True,"Frozen yogurt, vanilla",❄️🥛🍦,4
1309,2340850,"Chocolate milk, ready to drink, low fat",survey_fndds_food,True,True,"Chocolate milk, ready to drink",🍫🥛,5
1353,2340894,"Strawberry milk, whole",survey_fndds_food,True,True,"Strawberry milk, whole",🍓🥛,3
1354,2340895,"Strawberry milk, reduced fat",survey_fndds_food,True,True,"Strawberry milk, reduced fat",🍓🥛,3
1355,2340896,"Strawberry milk, low fat",survey_fndds_food,True,True,"Strawberry milk, low fat",🍓🥛,3
1356,2340897,"Strawberry milk, fat free",survey_fndds_food,True,True,"Strawberry milk, fat free",🍓🥛,3
1359,2340900,"Milk, malted",survey_fndds_food,True,True,"Milk, malted",🥛🍼,3
1360,2340901,Eggnog,survey_fndds_food,True,True,Eggnog,🥚🍼,3
1372,2340913,"Fruit smoothie, with whole fruit and dairy",survey_fndds_food,True,True,"Fruit smoothie, with whole fruit and dairy",🍓🥤🥛,4
1447,2340988,"Whey, sweet, dry",survey_fndds_food,True,True,"Whey, sweet",🥛🍯,2
1476,2341017,"Sour cream, regular",survey_fndds_food,True,True,"Sour cream, regular",🥛🥄,4
1477,2341018,"Sour cream, light",survey_fndds_food,True,True,"Sour cream, light",🥛🧀,3
1478,2341019,"Sour cream, fat free",survey_fndds_food,True,True,"Sour cream, fat free",🥛🥣,3
1483,2341024,"Onion dip, regular",survey_fndds_food,True,True,"Onion dip, regular",🧅,3
1484,2341025,"Onion dip, light",survey_fndds_food,True,True,"Onion dip, light",🧅🥕,3
1485,2341026,"Ranch dip, regular",survey_fndds_food,True,True,"Ranch dip, regular",🥕🥛,4
1486,2341027,"Ranch dip, light",survey_fndds_food,True,True,"Ranch dip, light",🥗🥛,3
1487,2341028,"Spinach dip, regular",survey_fndds_food,True,True,"Spinach dip, regular",🥬🥣,3
1488,2341029,"Spinach dip, light",survey_fndds_food,True,True,"Spinach dip, light",🥬🧀,3
1489,2341030,"Vegetable dip, regular",survey_fndds_food,True,True,"Vegetable dip, regular",🥒🥬🥕,4
1490,2341031,"Vegetable dip, light",survey_fndds_food,True,True,"Vegetable dip, light",🥬🥕🥒🧀,3
1498,2341039,"Gelato, vanilla",survey_fndds_food,True,True,"Gelato, vanilla",❄️🍦,4
1539,2341080,"Sherbet, all flavors",survey_fndds_food,True,True,"Sherbet, all flavors",🍨🍧🍦,4
1542,2341083,"Pudding, bread",survey_fndds_food,True,False,"Pudding, bread",🍞🍮,3
1545,2341086,Flan,survey_fndds_food,True,False,Flan,🍮,3
1547,2341088,"Pudding, rice",survey_fndds_food,True,True,"Pudding, rice",🍚🍮,4
1549,2341090,"Pudding, tapioca, made from dry mix",survey_fndds_food,True,True,"Pudding, tapioca",🍮,3
1567,2341108,"Cheese, Blue or Roquefort",survey_fndds_food,True,False,"Cheese, Blue or Roquefort",🧀,3
1568,2341109,"Cheese, Brick",survey_fndds_food,True,False,"Cheese, Brick",🧀,4
1569,2341110,"Cheese, Camembert",survey_fndds_food,True,False,"Cheese, Camembert",🧀🇫🇷,2
1570,2341111,"Cheese, Brie",survey_fndds_food,True,False,"Cheese, Brie",🧀,4
1571,2341112,"Cheese, Cheddar",survey_fndds_food,True,False,"Cheese, Cheddar",🧀,5
1574,2341115,"Cheese, Colby",survey_fndds_food,True,False,"Cheese, Colby",🧀,3
1575,2341116,"Cheese, Colby Jack",survey_fndds_food,True,False,"Cheese, Colby Jack",🧀🧀,4
1576,2341117,"Cheese, Feta",survey_fndds_food,True,False,"Cheese, Feta",🧀,4
1577,2341118,"Cheese, Fontina",survey_fndds_food,True,False,"Cheese, Fontina",🧀,3
1578,2341119,"Cheese, goat",survey_fndds_food,True,False,"Cheese, goat",🐐🧀,3
1579,2341120,"Cheese, Gouda or Edam",survey_fndds_food,True,False,"Cheese, Gouda or Edam",🧀,4
1580,2341121,"Cheese, Gruyere",survey_fndds_food,True,False,"Cheese, Gruyere",🧀,3
1581,2341122,"Cheese, Limburger",survey_fndds_food,True,False,"Cheese, Limburger",🧀,2
1582,2341123,"Cheese, Monterey",survey_fndds_food,True,False,"Cheese, Monterey",🧀,4
1585,2341126,"Cheese, Mozzarella, part skim",survey_fndds_food,True,True,"Cheese, Mozzarella",🧀,5
1588,2341129,"Cheese, Muenster",survey_fndds_food,True,False,"Cheese, Muenster",🧀,4
1590,2341131,"Cheese, Parmesan, dry grated",survey_fndds_food,True,True,"Cheese, Parmesan",🧀,5
1594,2341135,"Cheese, Port du Salut",survey_fndds_food,True,False,"Cheese, Port du Salut",🧀,3
1595,2341136,"Cheese, Provolone",survey_fndds_food,True,True,"Cheese, Provolone",🧀,4
1596,2341137,"Cheese, provolone, reduced fat",survey_fndds_food,True,True,"Cheese, provolone",🧀,4
1597,2341138,"Cheese, Swiss",survey_fndds_food,True,False,"Cheese, Swiss",🧀,4
1602,2341143,"Cheese, paneer",survey_fndds_food,True,False,"Cheese, paneer",🧀,3
1603,2341144,"Cheese, Mexican blend",survey_fndds_food,True,True,"Cheese, Mexican blend",🌮🧀,4
1610,2341151,"Cheese, cottage, creamed, large or small curd",survey_fndds_food,True,True,"Cheese, cottage",🧀,3
1611,2341152,"Cottage cheese, farmer's",survey_fndds_food,True,False,"Cottage cheese, farmer's",🧀,3
1612,2341153,"Cheese, Ricotta",survey_fndds_food,True,False,"Cheese, Ricotta",🧀,3
1624,2341165,"Cream cheese, light",survey_fndds_food,True,True,"Cream cheese, light",🧀,4
1626,2341167,"Cheese, American",survey_fndds_food,True,False,"Cheese, American",🧀,5
1633,2341174,"Cheese, processed, with vegetables",survey_fndds_food,True,True,"Cheese, processed",🧀,4
1634,2341175,"Cheese,  with wine",survey_fndds_food,True,True,"Cheese,  with wine",🧀🍷,4
1642,2341183,"Cheese, cottage cheese, with gelatin dessert and fruit",survey_fndds_food,True,True,"Cheese, cottage cheese",🧀,4
1646,2341187,Spinach and artichoke dip,survey_fndds_food,True,True,Spinach and artichoke dip,🥬🥕🥣,3
1648,2341189,Cheese dip with chili pepper,survey_fndds_food,True,True,Cheese dip with chili pepper,🧀🌶,3
1673,2341214,Alfredo sauce with added vegetables,survey_fndds_food,True,True,Alfredo sauce with added vegetables,🏠🍝🥬,4
1675,2341216,Alfredo sauce with meat and added vegetables,survey_fndds_food,True,True,Alfredo sauce with meat and added vegetables,🍝🍖🥬,4
1677,2341218,Alfredo sauce with poultry and added vegetables,survey_fndds_food,True,True,Alfredo sauce with poultry and added vegetables,🏠🍝🐓🥬,4
1679,2341220,Alfredo sauce with seafood and added vegetables,survey_fndds_food,True,True,Alfredo sauce with seafood and added vegetables,🍝🦞🥬,4
1681,2341222,"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing",survey_fndds_food,True,True,"Mozzarella cheese, tomato",🧀🍅,4
1689,2341230,"Beef, steak, chuck",survey_fndds_food,True,False,"Beef, steak",🥩,5
1707,2341248,"Beef, oxtails",survey_fndds_food,True,False,"Beef, oxtails",🍖🐂,2
1708,2341249,"Beef, neck bones",survey_fndds_food,True,False,"Beef, neck bones",🍖🦴,2
1709,2341250,"Beef, shortribs",survey_fndds_food,True,False,"Beef, shortribs",🍖,4
1710,2341251,"Beef, cow head",survey_fndds_food,True,False,"Beef, cow head",🍖🐂,1
1711,2341252,"Beef, roast",survey_fndds_food,True,False,"Beef, roast",🍖,5
1712,2341253,"Beef, pot roast",survey_fndds_food,True,False,"Beef, pot roast",🍖🥩,4
1713,2341254,"Beef, stew meat",survey_fndds_food,True,False,"Beef, stew meat",🍖🥩,4
1714,2341255,"Beef, corned",survey_fndds_food,True,False,"Beef, corned",🍖,3
1715,2341256,"Beef, brisket",survey_fndds_food,True,False,"Beef, brisket",🍖,4
1716,2341257,"Beef, sandwich steak",survey_fndds_food,True,False,"Beef, sandwich steak",🥩🥖,3
1717,2341258,"Beef, ground, raw",survey_fndds_food,True,False,"Beef, ground",🍖,5
1720,2341261,"Beef, bacon, cooked",survey_fndds_food,True,False,"Beef, bacon",🍖🥓,5
1723,2341264,"Beef, dried, chipped, cooked in fat",survey_fndds_food,True,False,"Beef, dried",🍖,3
1727,2341268,"Pork, ground",survey_fndds_food,True,False,"Pork, ground",🐖🍖,4
