id,fdc_id,name,origin_dataset
1219,2340760,"Milk, human",survey_fndds_food
1220,2340761,"Milk, NFS",survey_fndds_food
1221,2340762,"Milk, whole",survey_fndds_food
1222,2340763,"Milk, reduced fat (2%)",survey_fndds_food
1223,2340764,"Milk, low fat (1%)",survey_fndds_food
1224,2340765,"Milk, fat free (skim)",survey_fndds_food
1225,2340766,"Milk, lactose free, low fat (1%)",survey_fndds_food
1226,2340767,"Milk, lactose free, fat free (skim)",survey_fndds_food
1227,2340768,"Milk, lactose free, reduced fat (2%)",survey_fndds_food
1228,2340769,"Milk, lactose free, whole",survey_fndds_food
1229,2340770,"Buttermilk, fat free (skim)",survey_fndds_food
1230,2340771,"Buttermilk, whole",survey_fndds_food
1231,2340772,"Kefir, NS as to fat content",survey_fndds_food
1232,2340773,"Goat's milk, whole",survey_fndds_food
1233,2340774,"Milk, dry, reconstituted, NS as to fat content",survey_fndds_food
1234,2340775,"Milk, dry, reconstituted, whole",survey_fndds_food
1235,2340776,"Milk, dry, reconstituted, low fat (1%)",survey_fndds_food
1236,2340777,"Milk, dry, reconstituted, fat free (skim)",survey_fndds_food
1237,2340778,"Milk, evaporated, NS as to fat content",survey_fndds_food
1238,2340779,"Milk, evaporated, whole",survey_fndds_food
1239,2340780,"Milk, evaporated, reduced fat (2%)",survey_fndds_food
1240,2340781,"Milk, evaporated, fat free (skim)",survey_fndds_food
1241,2340782,"Milk, condensed, sweetened",survey_fndds_food
1242,2340783,"Non-dairy milk, NFS",survey_fndds_food
1243,2340784,Soy milk,survey_fndds_food
1244,2340785,"Soy milk, light",survey_fndds_food
1245,2340786,"Soy milk, nonfat",survey_fndds_food
1246,2340787,"Soy milk, chocolate",survey_fndds_food
1247,2340788,"Soy milk, light, chocolate",survey_fndds_food
1248,2340789,"Almond milk, sweetened",survey_fndds_food
1249,2340790,"Almond milk, sweetened, chocolate",survey_fndds_food
1250,2340791,"Almond milk, unsweetened",survey_fndds_food
1251,2340792,"Almond milk, unsweetened, chocolate",survey_fndds_food
1252,2340793,Rice milk,survey_fndds_food
1253,2340794,Coconut milk,survey_fndds_food
1254,2340795,"Yogurt, NFS",survey_fndds_food
1255,2340796,"Yogurt, Greek, NS as to type of milk or flavor",survey_fndds_food
1256,2340797,"Yogurt, NS as to type of milk or flavor",survey_fndds_food
1257,2340798,"Yogurt, NS as to type of milk, plain",survey_fndds_food
1258,2340799,"Yogurt, whole milk, plain",survey_fndds_food
1259,2340800,"Yogurt, low fat milk, plain",survey_fndds_food
1260,2340801,"Yogurt, nonfat milk, plain",survey_fndds_food
1261,2340802,"Yogurt, Greek, NS as to type of milk, plain",survey_fndds_food
1262,2340803,"Yogurt, Greek, whole milk, plain",survey_fndds_food
1263,2340804,"Yogurt, Greek, low fat milk, plain",survey_fndds_food
1264,2340805,"Yogurt, Greek, nonfat milk, plain",survey_fndds_food
1265,2340806,"Yogurt, NS as to type of milk, fruit",survey_fndds_food
1266,2340807,"Yogurt, whole milk, fruit",survey_fndds_food
1267,2340808,"Yogurt, low fat milk, fruit",survey_fndds_food
1268,2340809,"Yogurt, nonfat milk, fruit",survey_fndds_food
1269,2340810,"Yogurt, Greek, NS as to type of milk, fruit",survey_fndds_food
1270,2340811,"Yogurt, Greek, whole milk, fruit",survey_fndds_food
1271,2340812,"Yogurt, Greek, low fat milk, fruit",survey_fndds_food
1272,2340813,"Yogurt, Greek, nonfat milk, fruit",survey_fndds_food
1273,2340814,"Yogurt, NS as to type of milk, flavors other than fruit",survey_fndds_food
1274,2340815,"Yogurt, whole milk, flavors other than fruit",survey_fndds_food
1275,2340816,"Yogurt, low fat milk, flavors other than fruit",survey_fndds_food
1276,2340817,"Yogurt, nonfat milk, flavors other than fruit",survey_fndds_food
1277,2340818,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",survey_fndds_food
1278,2340819,"Yogurt, Greek, whole milk, flavors other than fruit",survey_fndds_food
1279,2340820,"Yogurt, Greek, low fat milk, flavors other than fruit",survey_fndds_food
1280,2340821,"Yogurt, Greek, nonfat milk, flavors other than fruit",survey_fndds_food
1281,2340822,"Yogurt, Greek, with oats",survey_fndds_food
1282,2340823,"Yogurt, liquid",survey_fndds_food
1283,2340824,"Chipotle dip, yogurt based",survey_fndds_food
1284,2340825,"Onion dip, yogurt based",survey_fndds_food
1285,2340826,"Ranch dip, yogurt based",survey_fndds_food
1286,2340827,"Spinach dip, yogurt based",survey_fndds_food
1287,2340828,Tzatziki dip,survey_fndds_food
1288,2340829,"Vegetable dip, yogurt based",survey_fndds_food
1289,2340830,"Yogurt parfait, low fat, with fruit",survey_fndds_food
1290,2340831,"Frozen yogurt, NFS",survey_fndds_food
1291,2340832,"Frozen yogurt, vanilla",survey_fndds_food
1292,2340833,"Frozen yogurt, chocolate",survey_fndds_food
1293,2340834,"Frozen yogurt, soft serve, vanilla",survey_fndds_food
1294,2340835,"Frozen yogurt, soft serve, chocolate",survey_fndds_food
1295,2340836,Frozen yogurt sandwich,survey_fndds_food
1296,2340837,"Frozen yogurt bar, vanilla",survey_fndds_food
1297,2340838,"Frozen yogurt bar, chocolate",survey_fndds_food
1298,2340839,"Frozen yogurt cone, chocolate",survey_fndds_food
1299,2340840,"Frozen yogurt cone, vanilla",survey_fndds_food
1300,2340841,"Frozen yogurt cone, vanilla, waffle cone",survey_fndds_food
1301,2340842,"Frozen yogurt cone, chocolate, waffle cone",survey_fndds_food
1302,2340843,"Baby Toddler food, NFS",survey_fndds_food
1303,2340844,"Baby Toddler yogurt, plain",survey_fndds_food
1304,2340845,"Baby Toddler yogurt, with fruit",survey_fndds_food
1305,2340846,"Chocolate milk, NFS",survey_fndds_food
1306,2340847,"Chocolate milk, ready to drink, whole",survey_fndds_food
1307,2340848,"Chocolate milk, ready to drink, reduced fat",survey_fndds_food
1308,2340849,"Chocolate milk, ready to drink, fat free",survey_fndds_food
1309,2340850,"Chocolate milk, ready to drink, low fat",survey_fndds_food
1310,2340851,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",survey_fndds_food
1311,2340852,"Chocolate milk, ready to drink, low fat (Nesquik)",survey_fndds_food
1312,2340853,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",survey_fndds_food
1313,2340854,"Hot chocolate / Cocoa, ready to drink",survey_fndds_food
1314,2340855,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",survey_fndds_food
1315,2340856,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",survey_fndds_food
1316,2340857,"Hot chocolate / Cocoa, ready to drink, with whipped cream",survey_fndds_food
1317,2340858,"Chocolate milk, made from dry mix with whole milk",survey_fndds_food
1318,2340859,"Chocolate milk, made from dry mix with reduced fat milk",survey_fndds_food
1319,2340860,"Chocolate milk, made from dry mix with fat free milk",survey_fndds_food
1320,2340861,"Chocolate milk, made from dry mix with non-dairy milk",survey_fndds_food
1321,2340862,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",survey_fndds_food
1322,2340863,"Chocolate milk, made from dry mix with whole milk (Nesquik)",survey_fndds_food
1323,2340864,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",survey_fndds_food
1324,2340865,"Chocolate milk, made from dry mix with low fat milk (Nesquik)",survey_fndds_food
1325,2340866,"Chocolate milk, made from dry mix with fat free milk (Nesquik)",survey_fndds_food
1326,2340867,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",survey_fndds_food
1327,2340868,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",survey_fndds_food
